idx	pattern	score	reasons
0125	ksssssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0124	kssssskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0121	ksssskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0120	ksssskkk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0117	ksssksks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0116	kssskskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0113	kssskkks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0112	kssskkkk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0111	ksskssss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0110	kssksssk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0109	ksskssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0108	kssksskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0107	ksskskss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0106	kssksksk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0105	ksskskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0104	ksskskkk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0093	ksksssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0092	kskssskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0089	ksksskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0088	ksksskkk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0085	ksksksks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0084	kskskskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0081	kskskkks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0079	kskkssss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0078	kskksssk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0077	kskkssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0076	kskksskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0075	kskkskss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0074	kskksksk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0073	kskkskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0061	kkssssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0057	kkssskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0056	kkssskkk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0053	kkssksks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0052	kksskskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0049	kksskkks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0047	kkskssss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0046	kksksssk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0045	kkskssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0044	kksksskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0043	kkskskss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0042	kksksksk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0041	kkskskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0029	kkksssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0028	kkkssskk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0025	kkksskks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0021	kkksksks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0015	kkkkssss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0014	kkkksssk	11	downbeat-k;backbeat-s;asym;tresillo-ish
0013	kkkkssks	11	downbeat-k;backbeat-s;asym;tresillo-ish
0011	kkkkskss	11	downbeat-k;backbeat-s;asym;tresillo-ish
0080	kskskkkk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0072	kskkskkk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0060	kksssskk	10	downbeat-k;backbeat-s;tresillo-ish
0048	kksskkkk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0040	kkskskkk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0020	kkkskskk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0017	kkkskkks	10	downbeat-k;backbeat-s;asym;tresillo-ish
0016	kkkskkkk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0012	kkkksskk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0010	kkkksksk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0009	kkkkskks	10	downbeat-k;backbeat-s;asym;tresillo-ish
0008	kkkkskkk	10	downbeat-k;backbeat-s;asym;tresillo-ish
0237	ssskssks	9	backbeat-s;asym;tresillo-ish
0236	sssksskk	9	backbeat-s;asym;tresillo-ish
0233	ssskskks	9	backbeat-s;asym;tresillo-ish
0232	ssskskkk	9	backbeat-s;asym;tresillo-ish
0205	sskkssks	9	backbeat-s;asym;tresillo-ish
0204	sskksskk	9	backbeat-s;asym;tresillo-ish
0201	sskkskks	9	backbeat-s;asym;tresillo-ish
0200	sskkskkk	9	backbeat-s;asym;tresillo-ish
0173	skskssks	9	backbeat-s;asym;tresillo-ish
0172	sksksskk	9	backbeat-s;asym;tresillo-ish
0169	skskskks	9	backbeat-s;asym;tresillo-ish
0168	skskskkk	9	backbeat-s;asym;tresillo-ish
0141	skkkssks	9	backbeat-s;asym;tresillo-ish
0140	skkksskk	9	backbeat-s;asym;tresillo-ish
0137	skkkskks	9	backbeat-s;asym;tresillo-ish
0123	ksssskss	9	downbeat-k;backbeat-s;asym
0122	kssssksk	9	downbeat-k;backbeat-s;asym
0119	ksssksss	9	downbeat-k;backbeat-s;asym
0118	kssskssk	9	downbeat-k;backbeat-s;asym
0115	kssskkss	9	downbeat-k;backbeat-s;asym
0114	kssskksk	9	downbeat-k;backbeat-s;asym
0103	ksskksss	9	downbeat-k;asym;tresillo-ish
0101	ksskksks	9	downbeat-k;asym;tresillo-ish
0100	ksskkskk	9	downbeat-k;asym;tresillo-ish
0099	ksskkkss	9	downbeat-k;asym;tresillo-ish
0098	ksskkksk	9	downbeat-k;asym;tresillo-ish
0097	ksskkkks	9	downbeat-k;asym;tresillo-ish
0095	ksksssss	9	downbeat-k;backbeat-s;asym
0094	kskssssk	9	downbeat-k;backbeat-s;asym
0091	ksksskss	9	downbeat-k;backbeat-s;asym
0087	ksksksss	9	downbeat-k;backbeat-s;asym
0086	kskskssk	9	downbeat-k;backbeat-s;asym
0083	kskskkss	9	downbeat-k;backbeat-s;asym
0082	kskskksk	9	downbeat-k;backbeat-s;asym
0071	kskkksss	9	downbeat-k;asym;tresillo-ish
0070	kskkkssk	9	downbeat-k;asym;tresillo-ish
0069	kskkksks	9	downbeat-k;asym;tresillo-ish
0067	kskkkkss	9	downbeat-k;asym;tresillo-ish
0063	kkssssss	9	downbeat-k;backbeat-s;asym
0062	kksssssk	9	downbeat-k;backbeat-s;asym
0059	kkssskss	9	downbeat-k;backbeat-s;asym
0058	kksssksk	9	downbeat-k;backbeat-s;asym
0055	kkssksss	9	downbeat-k;backbeat-s;asym
0054	kksskssk	9	downbeat-k;backbeat-s;asym
0051	kksskkss	9	downbeat-k;backbeat-s;asym
0050	kksskksk	9	downbeat-k;backbeat-s;asym
0039	kkskksss	9	downbeat-k;asym;tresillo-ish
0038	kkskkssk	9	downbeat-k;asym;tresillo-ish
0037	kkskksks	9	downbeat-k;asym;tresillo-ish
0035	kkskkkss	9	downbeat-k;asym;tresillo-ish
0031	kkksssss	9	downbeat-k;backbeat-s;asym
0030	kkkssssk	9	downbeat-k;backbeat-s;asym
0027	kkksskss	9	downbeat-k;backbeat-s;asym
0026	kkkssksk	9	downbeat-k;backbeat-s;asym
0024	kkksskkk	9	downbeat-k;backbeat-s;tresillo-ish
0023	kkksksss	9	downbeat-k;backbeat-s;asym
0022	kkkskssk	9	downbeat-k;backbeat-s;asym
0019	kkkskkss	9	downbeat-k;backbeat-s;asym
0007	kkkkksss	9	downbeat-k;asym;tresillo-ish
0136	skkkskkk	8	backbeat-s;asym;tresillo-ish
0127	ksssssss	8	downbeat-k;backbeat-s;asym
0126	kssssssk	8	downbeat-k;backbeat-s
0102	ksskkssk	8	downbeat-k;tresillo-ish
0096	ksskkkkk	8	downbeat-k;asym;tresillo-ish
0090	kskssksk	8	downbeat-k;backbeat-s
0068	kskkkskk	8	downbeat-k;asym;tresillo-ish
0065	kskkkkks	8	downbeat-k;asym;tresillo-ish
0064	kskkkkkk	8	downbeat-k;asym;tresillo-ish
0034	kkskkksk	8	downbeat-k;asym;tresillo-ish
0033	kkskkkks	8	downbeat-k;asym;tresillo-ish
0032	kkskkkkk	8	downbeat-k;asym;tresillo-ish
0018	kkkskksk	8	downbeat-k;backbeat-s;asym
0006	kkkkkssk	8	downbeat-k;asym;tresillo-ish
0005	kkkkksks	8	downbeat-k;asym;tresillo-ish
0004	kkkkkskk	8	downbeat-k;asym;tresillo-ish
0003	kkkkkkss	8	downbeat-k;asym;tresillo-ish
0002	kkkkkksk	8	downbeat-k;asym;tresillo-ish
0001	kkkkkkks	8	downbeat-k;asym;tresillo-ish
0252	sssssskk	7	backbeat-s;asym
0250	sssssksk	7	backbeat-s;asym
0249	ssssskks	7	backbeat-s;asym
0248	ssssskkk	7	backbeat-s;asym
0246	sssskssk	7	backbeat-s;asym
0245	ssssksks	7	backbeat-s;asym
0244	sssskskk	7	backbeat-s;asym
0243	sssskkss	7	backbeat-s;asym
0242	sssskksk	7	backbeat-s;asym
0241	sssskkks	7	backbeat-s;asym
0240	sssskkkk	7	backbeat-s;asym
0238	sssksssk	7	backbeat-s;asym
0235	ssskskss	7	backbeat-s;asym
0234	sssksksk	7	backbeat-s;asym
0229	ssskksks	7	asym;tresillo-ish
0228	ssskkskk	7	asym;tresillo-ish
0225	ssskkkks	7	asym;tresillo-ish
0224	ssskkkkk	7	asym;tresillo-ish
0222	sskssssk	7	backbeat-s;asym
0221	ssksssks	7	backbeat-s;asym
0220	sskssskk	7	backbeat-s;asym
0218	sskssksk	7	backbeat-s;asym
0217	ssksskks	7	backbeat-s;asym
0216	ssksskkk	7	backbeat-s;asym
0215	ssksksss	7	backbeat-s;asym
0214	sskskssk	7	backbeat-s;asym
0213	ssksksks	7	backbeat-s;asym
0212	sskskskk	7	backbeat-s;asym
0211	sskskkss	7	backbeat-s;asym
0210	sskskksk	7	backbeat-s;asym
0209	sskskkks	7	backbeat-s;asym
0208	sskskkkk	7	backbeat-s;asym
0207	sskkssss	7	backbeat-s;asym
0206	sskksssk	7	backbeat-s;asym
0203	sskkskss	7	backbeat-s;asym
0202	sskksksk	7	backbeat-s;asym
0197	sskkksks	7	asym;tresillo-ish
0196	sskkkskk	7	asym;tresillo-ish
0193	sskkkkks	7	asym;tresillo-ish
0190	sksssssk	7	backbeat-s;asym
0188	sksssskk	7	backbeat-s;asym
